51;BLOQUE FRENOSVEN 19-0095 4570 D;2;70;49,40;BLOQUES;FRENOSVEN
52;BLOQUE FRENOSVEN 19-0113 4602 D;2;80;56,83;BLOQUES;FRENOSVEN
53;BLOQUE 1FRENOSVEN 19-0139 4644 GD D MOD;6;60;44,08;BLOQUES;FRENOSVEN
54;BLOQUE FRENOSVEN 19-0149 4664 D;0;62;49,38;BLOQUES;FRENOSVEN
55;BLOQUE FRENOSVEN 19-0151 4671 D;3;45;31,32;BLOQUES;FRENOSVEN
56;BLOQUE FRENOSVEN 19-0153 4672 D;8;56;39,44;BLOQUES;FRENOSVEN
57;BLOQUE FRENOSVEN 19-0167 4698 D;3;77;54,03;BLOQUES;FRENOSVEN
58;BLOQUE FRENOSVEN 19-0170 4702 D;4;30;20,88;BLOQUES;FRENOSVEN
59;BLOQUE FRENOSVEN 19-0172 4703 D;4;33;23,20;BLOQUES;FRENOSVEN
60;BLOQUE FRENOSVEN 19-0174 4704 D;9;40;27,04;BLOQUES;FRENOSVEN
61;BLOQUE FRENOSVEN 19-0176 4705 D;4,5;46;33,76;BLOQUES;FRENOSVEN
62;BLOQUE FRENOSVEN 19-0178 4707 D;8,5;50;34,73;BLOQUES;FRENOSVEN
63;BLOQUE FRENOSVEN 19-0181 4709 D;10;55;38,28;BLOQUES;FRENOSVEN
64;BLOQUE FRENOSVEN 19-0183 4710 D;2;52;35,96;BLOQUES;FRENOSVEN
65;BLOQUE FRENOSVEN 19-0338 4710 D MOD;0;70;50,03;BLOQUES;FRENOSVEN
66;BLOQUE FRENOSVEN 19-0349 1025 D ADAPTACIN HINO;2;35;23,56;BLOQUES;FRENOSVEN
67;BLOQUE FRENOSVEN 19-0185 4711 D;4;63;44,08;BLOQUES;FRENOSVEN
68;BLOQUE FRENOSVEN 19-0187 4715 D;2;40;26,68;BLOQUES;FRENOSVEN
69;BLOQUE FRENOSVEN 19-0189 4719 D;5;38;25,52;BLOQUES;FRENOSVEN
70;BLOQUE FRENOSVEN 19-0191 4720 D;8;38;24,36;BLOQUES;FRENOSVEN
71;BLOQUE FRENOSVEN 19-0192 4725 D;4;38;24,36;BLOQUES;FRENOSVEN
72;BLOQUE FRENOSVEN 19-0196 9001 D;2;25;14,50;BLOQUES;FRENOSVEN
73;BLOQUE FRENOSVEN 19-0198 9002 D FV (FVR TRAS) 6563D;2;46;32,48;BLOQUES;FRENOSVEN
74;BLOQUE FRENOSVEN 19-0200 9003 D FV (FVR DEL) 6562D;4;40;27,84;BLOQUES;FRENOSVEN
75;BLOQUE FRENOSVEN 19-0219 FORD CARGO 815 D 6525;8;25;17,40;BLOQUES;FRENOSVEN
76;BLOQUE FRENOSVEN 19-0224 HINO GAGO TR 4416;7;46;32,48;BLOQUES;FRENOSVEN
77;BLOQUE FRENOSVEN 19-0231 IVECO 120 CARGO TR D MOD  6505;3;80;55,68;BLOQUES;FRENOSVEN
78;BLOQUE FRENOSVEN 19-0241 IVECO 410 CARGO DEL D MOD 6504;3;80;55,68;BLOQUES;FRENOSVEN
